ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
1096,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,WILLIAMSBURG,MA
1097,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WORONOCO,MA
1098,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,WORTHINGTON,MA
1101,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1102,1010403,"Hartford, CT",10104,New England,101,East Rare Region,,,
1103,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1104,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1105,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1106,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,LONGMEADOW,MA
1107,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1108,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1109,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1111,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1115,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1116,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,LONGMEADOW,MA
1118,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1119,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1128,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
1129,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SPRINGFIELD,MA
