GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
ACHL,,59762000801,GALANTAMINE,1,,,,
ACHL,,68950003005,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,50090128700,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,60505322203,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,63739057610,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,50090453201,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,33261081790,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,69150041510,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,67046012830,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,51991079510,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,51991079410,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,52343008999,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,781261713,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,60505322301,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,68382030230,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,591320944,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,781527610,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,378272105,GALANTAMINE,1,,,,
ACHL,,591321044,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,615795130,DONEPEZIL HYDROCHLORIDE,1,,,,
